EMPRESA (SIGLA);EMPRESA (NOME);EMPRESA (NACIONALIDADE);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE ORIGEM (REGIÃO);AEROPORTO DE ORIGEM (PAÍS);AEROPORTO DE ORIGEM (CONTINENTE);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);AEROPORTO DE DESTINO (REGIÃO);AEROPORTO DE DESTINO (PAÍS);AEROPORTO DE DESTINO (CONTINENTE);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;CARGA PAGA (KG);CARGA GRÁTIS (KG);CORREIO (KG);ASK;RPK;ATK;RTK;COMBUSTÍVEL (LITROS);DISTÂNCIA VOADA (KM);DECOLAGENS;CARGA PAGA KM;CARGA GRATIS KM;CORREIO KM;ASSENTOS;PAYLOAD;HORAS VOADAS;BAGAGEM (KG)
1ED;SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S;ESTRANGEIRA;2025;4;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;SKBO;BOGOTÁ;;;COLÔMBIA;AMÉRICA DO SUL;INTERNACIONAL;IMPRODUTIVO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1787.0;1.0;0.0;0.0;0.0;0.0;0.0;2.5;0.0
1ED;SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S;ESTRANGEIRA;2025;4;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;SYCJ;GEORGETOWN;;;GUIANA;AMÉRICA DO SUL;INTERNACIONAL;IMPRODUTIVO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1079.0;1.0;0.0;0.0;0.0;0.0;0.0;1.533;0.0
1ED;SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S;ESTRANGEIRA;2025;4;SKBO;BOGOTÁ;;;COLÔMBIA;AMÉRICA DO SUL;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;22.0;0.0;0.0;0.0;0.0;89350.0;39314.0;8935.0;3538.0;0.0;1787.0;1.0;0.0;0.0;0.0;50.0;5000.0;2.65;0.0
1ED;SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S;ESTRANGEIRA;2025;4;SYCJ;GEORGETOWN;;;GUIANA;AMÉRICA DO SUL;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;58.0;0.0;0.0;0.0;0.0;107900.0;62582.0;10790.0;5632.0;0.0;2158.0;2.0;0.0;0.0;0.0;100.0;10000.0;4.783;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;1;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;5231.0;257.0;81807.0;0.0;1648.0;55161300.0;44039800.0;10607900.0;4666170.0;0.0;235732.0;28.0;688733000.0;0.0;13874500.0;6552.0;1260000.0;284.152;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;1;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;7541.0;286.0;173929.0;0.0;1258.0;72835700.0;62168000.0;11500400.0;7039340.0;0.0;255564.0;31.0;1433870000.0;0.0;10371000.0;8835.0;1395000.0;313.086;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;1;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;7348.0;247.0;30108.0;0.0;3490.0;65170900.0;56792700.0;10782000.0;5371010.0;0.0;239599.0;31.0;232705000.0;0.0;26974200.0;8432.0;1395000.0;294.467;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;1;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;8017.0;158.0;200956.0;0.0;5713.0;67711400.0;61442300.0;10691300.0;7113700.0;0.0;237584.0;31.0;1540130000.0;0.0;43784400.0;8835.0;1395000.0;293.618;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;10713.0;303.0;106360.0;66.0;4983.0;77957500.0;71959200.0;14206500.0;7224200.0;0.0;315699.0;47.0;714420000.0;443322.0;33470800.0;11606.0;2115000.0;391.0;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;23928.0;619.0;630962.0;0.0;3443.0;174080000.0;157303000.0;29944600.0;18327800.0;0.0;611382.0;93.0;4147950000.0;0.0;22634300.0;26480.0;4555000.0;784.219;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;1;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;6315.0;247.0;8546.0;0.0;2.0;57560700.0;53166000.0;10986800.0;4856890.0;0.0;244151.0;29.0;71948800.0;0.0;16838.0;6837.0;1305000.0;300.116;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;1;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;7625.0;242.0;44696.0;0.0;0.0;65170900.0;58933600.0;10782000.0;5649470.0;0.0;239599.0;31.0;345455000.0;0.0;0.0;8432.0;1395000.0;300.534;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;1;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;11145.0;312.0;209369.0;0.0;4610.0;77957500.0;74861000.0;14206500.0;8174760.0;0.0;315699.0;47.0;1406330000.0;0.0;30965400.0;11606.0;2115000.0;395.033;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;8096.0;239.0;299564.0;868.0;3303.0;72835700.0;66743400.0;11500400.0;8503730.0;0.0;255564.0;31.0;2469610000.0;7155790.0;27229900.0;8835.0;1395000.0;308.201;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;8312.0;144.0;293829.0;0.0;0.0;67711400.0;63703200.0;10691300.0;7985180.0;0.0;237584.0;31.0;2251910000.0;0.0;0.0;8835.0;1395000.0;297.884;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;24118.0;682.0;1018564.0;0.0;38038.0;172081000.0;158552000.0;29517300.0;21215700.0;0.0;604808.0;92.0;6696040000.0;0.0;250062000.0;26176.0;4490000.0;763.352;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;2;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;1089.0;53.0;18858.0;0.0;171.0;9850230.0;9168290.0;1894280.0;985349.0;0.0;42095.0;5.0;158765000.0;0.0;1439650.0;1170.0;225000.0;50.833;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;2;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;6827.0;326.0;169732.0;0.0;1342.0;65787100.0;56281800.0;10387400.0;6475680.0;0.0;230832.0;28.0;1399270000.0;0.0;11063400.0;7980.0;1260000.0;279.68;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;2;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;6780.0;260.0;72298.0;0.0;3535.0;58864100.0;52402600.0;9738540.0;5302340.0;0.0;216412.0;28.0;558791000.0;0.0;27322000.0;7616.0;1260000.0;263.566;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;2;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;6860.0;148.0;209617.0;0.0;5573.0;61158700.0;52575000.0;9656640.0;6380960.0;0.0;214592.0;28.0;1606500000.0;0.0;42711500.0;7980.0;1260000.0;264.182;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;2;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;9251.0;234.0;146266.0;0.0;5843.0;66276600.0;62139000.0;12090600.0;6614200.0;0.0;268680.0;40.0;982469000.0;0.0;39247400.0;9867.0;1800000.0;328.767;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;2;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;20568.0;808.0;570024.0;0.0;4532.0;156514000.0;135214000.0;26821900.0;15946400.0;0.0;552216.0;84.0;3747340000.0;0.0;29793400.0;23808.0;4080000.0;702.418;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;2;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;909.0;25.0;12288.0;0.0;0.0;7880180.0;7652870.0;1515420.0;792209.0;0.0;33676.0;4.0;103453000.0;0.0;0.0;936.0;180000.0;42.983;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;2;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;5239.0;262.0;91484.0;0.0;0.0;58864100.0;40492200.0;9738540.0;4351370.0;0.0;216412.0;28.0;707080000.0;0.0;0.0;7616.0;1260000.0;271.783;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;2;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;8319.0;335.0;333922.0;0.0;7077.0;65934000.0;55878700.0;12090600.0;7319560.0;0.0;268680.0;40.0;2242950000.0;0.0;47536200.0;9816.0;1800000.0;338.114;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;2;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;6773.0;248.0;320629.0;0.0;2952.0;65787100.0;55836600.0;10387400.0;7692880.0;0.0;230832.0;28.0;2643270000.0;0.0;24336300.0;7980.0;1260000.0;285.983;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;2;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;5914.0;155.0;254867.0;0.0;7149.0;61158700.0;45324900.0;9656640.0;6087320.0;0.0;214592.0;28.0;1953300000.0;0.0;54789900.0;7980.0;1260000.0;271.115;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;2;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;18208.0;592.0;1133234.0;0.0;20965.0;156514000.0;119699000.0;26821900.0;18360600.0;0.0;552216.0;84.0;7449880000.0;0.0;137824000.0;23808.0;4080000.0;698.706;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;3;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;5204.0;354.0;39094.0;0.0;593.0;55910600.0;43812500.0;10607900.0;4277230.0;0.0;235732.0;28.0;329132000.0;0.0;4992470.0;6641.0;1260000.0;280.834;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;3;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;7191.0;315.0;232890.0;0.0;1220.0;72283400.0;59282600.0;11500400.0;7265420.0;0.0;255564.0;31.0;1919950000.0;0.0;10057700.0;8768.0;1395000.0;309.867;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;3;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;6403.0;403.0;56103.0;0.0;3954.0;60966400.0;49488800.0;10086300.0;4918160.0;0.0;224141.0;29.0;433620000.0;0.0;30560500.0;7888.0;1305000.0;270.201;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;3;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;7252.0;159.0;301331.0;0.0;6227.0;67611800.0;55579300.0;10691300.0;7359250.0;0.0;237584.0;31.0;2309400000.0;0.0;47723700.0;8822.0;1395000.0;293.982;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;3;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;9715.0;366.0;96631.0;0.0;7298.0;73497400.0;65255700.0;13299700.0;6571080.0;0.0;295548.0;44.0;649071000.0;0.0;49020700.0;10942.0;1980000.0;360.2;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;3;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;250.0;8.0;9855.0;0.0;0.0;1788130.0;1643500.0;295830.0;212701.0;0.0;6574.0;1.0;64786800.0;0.0;0.0;272.0;45000.0;8.733;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;3;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;20985.0;705.0;903626.0;0.0;5162.0;165165000.0;137955000.0;28366800.0;18390300.0;0.0;585086.0;89.0;5940440000.0;0.0;33935000.0;25124.0;4315000.0;741.352;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;3;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;5819.0;414.0;14283.0;0.0;0.0;57560700.0;48990200.0;10986800.0;4529350.0;0.0;244151.0;29.0;120249000.0;0.0;0.0;6837.0;1305000.0;313.301;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;3;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;6695.0;400.0;161764.0;0.0;0.0;60966400.0;51745700.0;10086300.0;5907370.0;0.0;224141.0;29.0;1250270000.0;0.0;0.0;7888.0;1305000.0;280.9;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;3;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;9904.0;404.0;354344.0;0.0;3355.0;73242100.0;66525200.0;13299700.0;8389900.0;0.0;295548.0;44.0;2380130000.0;0.0;22535500.0;10904.0;1980000.0;376.416;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;3;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;7522.0;374.0;331712.0;0.0;2988.0;72308100.0;62011400.0;11500400.0;8340270.0;0.0;255564.0;31.0;2734630000.0;0.0;24633100.0;8771.0;1395000.0;320.882;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;3;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;7336.0;202.0;346108.0;0.0;2288.0;67512200.0;56223100.0;10691300.0;7730170.0;0.0;237584.0;31.0;2652570000.0;0.0;17535200.0;8809.0;1395000.0;294.466;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;3;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;20550.0;788.0;1233113.0;0.0;35783.0;170740000.0;135096000.0;29320000.0;20500300.0;0.0;604808.0;92.0;8106490000.0;0.0;235237000.0;25972.0;4460000.0;773.835;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;4;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;6849.0;289.0;235337.0;0.0;1669.0;70486200.0;56463200.0;11129400.0;7035550.0;0.0;247320.0;30.0;1940120000.0;0.0;13759200.0;8550.0;1350000.0;307.316;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;4;KIAH;HOUSTON, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;NÃO REGULAR;0.0;0.0;0.0;0.0;0.0;103170.0;100998.0;16290.0;12061.0;0.0;362.0;1.0;2838440.0;0.0;133578.0;285.0;45000.0;1.617;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;4;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;6621.0;185.0;242476.0;0.0;5933.0;65504200.0;50743300.0;10346400.0;6470690.0;0.0;229920.0;30.0;1858340000.0;0.0;45470500.0;8547.0;1350000.0;285.418;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;4;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;7101.0;218.0;162013.0;0.0;10158.0;52970300.0;47697400.0;8765680.0;5449220.0;0.0;194793.0;29.0;1088240000.0;0.0;68231300.0;7886.0;1305000.0;238.9;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;4;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;13383.0;562.0;544529.0;26.0;3414.0;104901000.0;87979900.0;19426200.0;11520300.0;0.0;387866.0;59.0;3579730000.0;170924.0;22443600.0;15957.0;2955000.0;487.837;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;4;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;0.0;0.0;0.0;0.0;0.0;1588880.0;1555420.0;250875.0;173298.0;0.0;5575.0;1.0;32368400.0;0.0;942175.0;285.0;45000.0;7.017;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;4;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;7755.0;237.0;330584.0;0.0;3551.0;54810700.0;52090300.0;9067950.0;6932500.0;0.0;201510.0;30.0;2220530000.0;0.0;23852100.0;8160.0;1350000.0;254.416;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;4;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;7879.0;246.0;281185.0;0.0;2728.0;65787100.0;62654400.0;10387400.0;7930200.0;0.0;230832.0;28.0;2270220000.0;0.0;21096400.0;7980.0;1260000.0;291.035;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;4;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KIAH;HOUSTON, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;NÃO REGULAR;0.0;0.0;0.0;0.0;0.0;2252920.0;2205500.0;355725.0;263394.0;0.0;7905.0;1.0;61983100.0;0.0;2916940.0;285.0;45000.0;9.617;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;4;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;8148.0;144.0;336105.0;0.0;11915.0;65527200.0;62446300.0;10346400.0;8287380.0;0.0;229920.0;30.0;2575910000.0;0.0;91316600.0;8550.0;1350000.0;282.701;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;4;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;15227.0;476.0;864573.0;0.0;29238.0;106104000.0;100102000.0;19722000.0;14885100.0;0.0;394440.0;60.0;5683700000.0;0.0;192211000.0;16140.0;3000000.0;501.5;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;4;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;0.0;0.0;0.0;0.0;0.0;768645.0;752463.0;121365.0;83836.0;0.0;2697.0;1.0;15658800.0;0.0;455793.0;285.0;45000.0;5.333;0.0
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;2025;1;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SDLO;CAIRU;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;35.0;0.0;0.0;0.0;0.0;4455.0;3465.0;520.0;257.0;580.0;495.0;5.0;0.0;0.0;0.0;45.0;5275.0;2.334;0.0
